comuna|fraccion|nombre|barrio
13|11|NULL|5
13|12|NULL|5
13|13|NULL|5
13|14|NULL|5
13|15|NULL|5
13|16|NULL|5
13|17|NULL|5
13|18|NULL|5
13|19|NULL|5
13|20|NULL|5
13|21|NULL|5
13|22|NULL|5
13|23|NULL|11
13|24|NULL|11
13|25|NULL|11
13|26|NULL|11
13|27|NULL|11
13|28|NULL|11
13|29|NULL|11
14|1|NULL|21
14|2|NULL|21
14|3|NULL|21
14|4|NULL|21
14|5|NULL|21
14|6|NULL|21
14|7|NULL|21
14|8|NULL|21
14|9|NULL|21
14|10|NULL|21
14|11|NULL|21
14|12|NULL|21
14|13|NULL|21
14|14|NULL|21
14|15|NULL|21
14|16|NULL|21
14|17|NULL|21
14|18|NULL|21
14|19|NULL|21
14|20|NULL|21
14|21|NULL|21
14|22|NULL|21
14|23|NULL|21
14|24|NULL|21
14|25|NULL|21
14|26|NULL|21
14|27|NULL|21
14|28|NULL|21
14|29|NULL|21
14|30|NULL|21
14|31|NULL|21
15|1|NULL|1
15|2|NULL|48
15|3|NULL|38
15|4|NULL|38
15|5|NULL|48
15|6|NULL|1
15|7|NULL|25
15|8|NULL|25
15|9|NULL|12
15|10|NULL|12
15|11|NULL|12
15|12|NULL|34
15|13|NULL|34
15|14|NULL|34
15|15|NULL|34
15|16|NULL|34
15|17|NULL|34
15|18|NULL|34
15|19|NULL|34
15|20|NULL|34
15|21|NULL|34
4|27|NULL|4
4|24|NULL|4
4|25|NULL|4
8|18|NULL|40
1|30|NULL|27
4|28|NULL|4
4|29|NULL|4
